Byte0: you_just_mastered_changing_directories
Byte1: in_every_job_that_must_be_done_there_is_an_element_of_fun
Byte2: grep_and_you_will_find
Byte: programmers
Byte: the_triwizard_cup_is_now_yours
Byte: sdi2400281_1761658867_-2042617541_195_134_65_81_55458_22
Byte: unzipping_is_a_piece_of_cake
Byte: tar_jokes_cant_stick
Byte: cant_keep_secrets_from_you
Byte: filepaths_are_handy
Byte: Althea
Byte: Peta
Byte: which_command_is_the_best
Byte: descriptive_git_commit_messages_are_great
Byte: copy_paste_the_fastest_way_to_introduce_bugs_you_dont_understand
Byte: 
